avg_backers_per_pledge_tier,avg_pledge_per_backer,campaign_end_date,campaign_start_date,category,city,description,description_length,dict_pledge_tier_backer,full_desc_len,funding_currency,funding_goal,funding_percentage,funding_raised,num_backers,num_comments,num_created_by_owner,num_faqs,num_updates,owner,project_img,project_video,state,status,title
3.67,47.64,2018-06-21,2018-04-22,Publishing,Phoenix,I am working on getting my 2nd book printed! Feathers in The Sky is a children's book that focuses on uplifting our youth!,122,"{25: 15, 45: 0, 50: 3, 300: 1, 350: 0, 800: 0}",2019,$,5063,20.7,1048,22,1,0,1,3,Janine Hernandez,False,True,AZ,Funding Unsuccessful,Feathers in The Sky
2.12,7.47,2019-03-05,2019-02-05,Comic Books,Oklahoma City,"Meet Atticus, the worst slave Rome has ever known. A 26 page black & white comic book set in Ancient Rome.",106,"{1: 0, 2: 4, 5: 4, 7: 2, 11: 4, 14: 0, 15: 0, 20: 2}",1128,$,400,31.75,127,17,2,2,0,5,Brian Cole,True,False,OK,Funding Unsuccessful,Atticus Decimater: Accidental Hero
11.7,66.82,2018-06-22,2018-05-23,Drama,Portland,"In 2042, Dr. Margaret Carter is facing the death penalty. These are a series of recordings played as evidence in her trial.",123,"{10: 24, 25: 29, 50: 11, 100: 10, 175: 1, 200: 2, 275: 1, 300: 3, 500: 2, 1: 0}",2906,$,7500,104.24,7818,117,3,0,0,19,Molly Silverstein,False,False,OR,Funding Successful,The Choice - A Dystopian Podcast
7.12,110.26,2018-06-22,2018-05-23,Nonfiction,Cypress,Finding Hope Through One Pastor's Doubt!,40,"{10: 3, 25: 12, 50: 10, 100: 15, 250: 6, 500: 3, 1: 0, 5: 0}",4429,$,6000,104.75,6285,57,0,0,0,15,Steve Hinton,False,False,TX,Funding Successful,Confessions of a Pastor
31.89,151.21,2018-06-22,2018-05-29,Product Design,Stuttgart,German Precision Optics Combined With Sleek Italian Design,58,"{1: 48, 25: 10, 75: 8, 115: 64, 125: 7, 155: 30, 175: 15, 200: 73, 225: 31}",5848,€,10000,433.97,43397,287,177,0,9,20,LEMURO,False,False,Germany,Funding Successful,LEMURO: Transform Your Smartphone Into A Professional Camera
0.85,258.55,2018-06-22,2018-05-18,Apparel,Clifton,"We design & make luxury-grade outerwear in our own factory in Clifton, NJ & cut out traditional middlemen, passing huge savings to you.",135,"{10: 1, 319: 0, 349: 0, 379: 2, 389: 4, 409: 0, 429: 1, 469: 0, 649: 0, 779: 0, 799: 0, 869: 0}",4354,$,30000,9.48,2844,11,0,0,0,0,ARMIS OUTERWEAR LLC,False,True,NJ,Cancelled by Creator,PREMIUM OUTERWEAR. MADE IN USA. AMAZING PRICE.
6.5,411.15,2018-06-22,2018-05-22,Product Design,New York,Paddock Chronograph is a racing-inspired timepiece powered by a Hybrid Meca-Quartz Movement. Pre-order now to get 35% OFF the price!,132,"{379: 36, 399: 0, 419: 0, 750: 0, 1: 0, 2: 1}",5667,$,40000,40.09,16035,39,12,2,0,2,PaceMasters Watches,False,True,NY,Cancelled by Creator,Racing-inspired Chronograph with Carbon fiber and Alcantara
21.62,57.53,2019-03-05,2019-02-08,Webseries,Los Angeles,"Red Hood: The FAN Series Season 2  follows the adventures of Red Hood, Red Robin, and Damian Wayne as they fight to save Gotham!",128,"{1: 22, 5: 32, 10: 48, 20: 38, 35: 30, 50: 31, 75: 11, 100: 17, 150: 11, 250: 15, 500: 1, 2: 1}",4414,$,15000,107.78,16167,281,27,0,3,18,Ian Lang,False,False,CA,Funding Successful,Red Hood: The FAN Series Season 2
7.08,167.33,2018-06-22,2018-05-23,Restaurants,Harlem,"A small, neighborhood cafe that serves exceptional coffee and a space to host intimate events of celebration and community.",123,"{5: 1, 10: 13, 15: 7, 25: 6, 50: 6, 75: 5, 100: 15, 150: 2, 200: 4, 300: 2, 500: 3, 1: 3}",3051,$,15000,102.63,15394,92,1,0,0,7,Karina Paz-Oshiro,False,False,NY,Funding Successful,Common Good Harlem
19.71,26.2,2018-06-22,2018-06-04,Anthologies,Yorba Linda,"A 5 story, 48 page comic inspired by classic pulp magazines like Creepy, Eerie and Tales From the Crypt!",104,"{1: 2, 5: 42, 15: 49, 25: 19, 60: 15, 100: 6, 250: 1}",3143,$,1250,289.2,3615,138,33,0,1,12,Kyle Roberts,False,False,CA,Funding Successful,"5 FROM BEYOND: a sci-fi, horror & suspense anthology comic!"
