avg_backers_per_pledge_tier,avg_pledge_per_backer,campaign_end_date,campaign_start_date,category,city,description,description_length,dict_pledge_tier_backer,full_desc_len,funding_currency,funding_goal,funding_percentage,funding_raised,num_backers,num_comments,num_created_by_owner,num_faqs,num_updates,owner,project_img,project_video,state,status,title
6.2,158.77,2019-05-09,2019-04-09,Product Design,Perth,"The original waterproof stash-bag, safe-box and speaker - ALL IN ONE - designed for watersports to keep your essentials safe!",125,"{10: 9, 199: 15, 299: 1, 358: 0, 845: 1}",52,$,75000,6.56,4922,31,0,0,11,0,Chris Kearney,False,True,AU,Cancelled by Creator,Stoked Stash
1.25,4.4,2019-05-05,2019-04-02,Video Games,Nottingham,"#AotMFC, A Fast Paced Action Platformer with flying fish that are swimming crows that are mutated half breeds of your nightmares!",129,"{5: 3, 6: 1, 7: 0, 33: 0}",875,£,5000,0.44,22,5,0,3,0,6,Ricky Wild,False,True,UK,Cancelled by Creator,Attack of the Mutant Fishcrows.
10.4,58.01,2019-05-10,2019-03-26,Product Design,New York,Gain Deeper Sleep and Better Focus with The Most Advanced Anti Blue Light Glasses built using Bioplastic Acetate and Japanese Lenses,132,"{39: 58, 40: 50, 49: 18, 55: 1, 65: 1, 75: 1, 89: 14, 99: 5, 149: 5}",4504,$,12500,72.39,9049,156,21,0,0,1,Omar Abu-Shaaban,False,True,NY,Cancelled by Creator,The Most Advanced Anti Blue Light Glasses You Will Ever Wear
0.5,16.33,2019-05-09,2019-04-04,Crafts,Austin,Hard enamel Pokémon pins based off the popular spin-off game,60,"{11: 0, 20: 2, 30: 0, 40: 0, 50: 0, 60: 0}",1522,$,200,24.5,49,3,0,0,0,0,MysteryDungeonStudio,True,False,TX,Cancelled by Creator,Pokemon Mystery Dungeon Enamel Pins
1.5,42.0,2019-05-17,2019-03-18,Art,San Francisco,A Tarot Deck merging all of the worlds mythology and spiritualism into one beautiful story of human existence.,110,"{25: 1, 100: 0}",2138,$,3500,3.6,126,3,0,0,0,2,Bettie Avalon,True,False,CA,Cancelled by Creator,Tarot of the Gods - A new view on an old tradition.
1.6,29.62,2019-05-07,2019-03-08,Accessories,Toronto,BluAway Specs are fashionable and premium blight light blocking glasses. These glasses protect your eyes and your sleep in style!,129,"{1: 1, 25: 3, 45: 3, 205: 0, 300: 0}",0,$,1500,15.8,237,8,0,0,0,0,Shaheen Ladha,False,True,Canada,Cancelled by Creator,BluAway Specs
1.77,140.48,2019-05-17,2019-04-17,Design,Geneva,Affordable unrestrained wall-art to encourage people to think out of the box!,77,"{15: 0, 30: 4, 89: 1, 103: 5, 107: 1, 111: 0, 119: 0, 125: 4, 143: 0, 209: 1, 250: 5}",679,$,120000,2.69,3231,23,2,0,4,0,Talia et David Bally,False,True,Switzerland,Cancelled by Creator,FUNKY FRAMES: WHEN ART POPS OUT OF ITS FRAME!
3.44,83.49,2019-03-13,2019-02-06,Product Design,London,"Don't lose your Airpods. PodPouch protects and stores a tracker and ear covers inside. In salmon skin, vegan leather & silicone rubber.",135,"{1: 2, 5: 3, 7: 8, 8: 1, 9: 1, 10: 7, 12: 0, 20: 6, 22: 4, 25: 1, 27: 2, 60: 4, 65: 3, 195: 4}",3832,£,8000,57.4,4592,55,4,2,0,1,Belal Breaga Bakht,False,True,UK,Cancelled by Creator,"PodPouch® for Airpods. Cases to protect, store and track."
3.93,137.44,2019-02-06,2019-01-07,Rock,Appleton,"Ifdakar is recording an album with Jake Cinninger of Umphrey's Mcgee, and they need your help to finish it!",107,"{5: 3, 15: 5, 20: 2, 25: 14, 35: 1, 50: 12, 100: 6, 250: 1, 400: 3, 600: 0, 1: 2}",1961,$,8000,101.36,8109,59,0,0,0,2,Ifdakar,False,False,WI,Funding Successful,Help Ifdakar Finish New Album with Jake Cinninger!
17.25,18.99,2019-03-13,2019-02-11,Games,London,"An original, two-player, abstract strategy game.",48,"{1: 6, 20: 50, 25: 8, 46: 2}",2628,£,20000,6.55,1310,69,5,0,0,0,Ben,False,True,UK,Funding Unsuccessful,Legatus
1.0,18.5,2019-02-06,2019-01-23,Academic,Paducah,Learn History while Coloring! My Color Thru History™ Series is for teens and adults. Book 2 covers the People of the Ancient World.,131,"{1: 1, 2: 1, 6: 0, 15: 1, 30: 1, 45: 1}",2168,$,250,44.4,111,6,0,0,0,2,Faithe Thomas,True,False,KY,Funding Unsuccessful,Quickstarter: Color Thru History™ - Book 2
12.5,45.7,2019-02-05,2019-01-15,Product Design,South Burlington,"This ice scraper is made in Vermont and guaranteed for life. Developed by a retired NASA machinist, it will crush up to 3/8"" thick ice.",135,"{29: 23, 49: 18, 89: 6, 169: 1}",1475,$,10000,22.85,2285,50,24,0,0,2,Michael Adams,False,True,VT,Funding Unsuccessful,Ice Beast | Remove Tough Ice & Freezing Rain Faster
8.75,59.26,2019-01-03,2018-12-04,Tabletop Games,Chicago,A strategic sci fi/fantasy themed card game. Reminiscent of classic trading card games but with some mechanics usually found elsewhere.,135,"{23: 5, 28: 5, 55: 3, 60: 17}",16760,$,80000,2.59,2074,35,2,2,0,1,TAGBOI GAMES,False,True,IL,Funding Unsuccessful,Trillionaire: The Card Game (Re-launch!)
13.6,30.22,2019-03-13,2019-02-11,Indie Rock,London,Yona is the musical project created by singer songwriter Joshua K.  We will be recording our Debut EP this Winter!,114,"{5: 14, 10: 19, 20: 18, 50: 4, 100: 5}",2463,£,2000,102.75,2055,68,0,0,0,5,Joshua K Donaldson,False,False,UK,Funding Successful,Yona's Debut EP
0.5,1.0,2019-01-03,2018-12-14,Fiction,Ontario,"This novella is set in Adorlock, a fantastical world of my own creation, which includes technology, magic, and a non-binary culture.",132,"{20: 0, 50: 0, 100: 0, 250: 0}",13905,$,9900,0.02,2,2,0,0,0,0,Jessica Trudel,False,True,CA,Funding Unsuccessful,A Wish Turned Prophecy: Fantasy Novella
4.47,83.91,2018-12-22,2018-11-22,Pottery,Barcelona,Support of our new ceramic studio. The place where we work and offer classes and workshops. Help us to purchase the missing equipment ♥,135,"{5: 1, 10: 9, 20: 7, 30: 4, 40: 3, 50: 11, 80: 2, 120: 8, 150: 3, 200: 0, 250: 1, 450: 1}",2502,€,5000,112.44,5622,67,6,0,0,1,Bcn Clay Studio,False,False,Spain,Funding Successful,Bcn Clay Studio - Ceramic and Jewelry Space in Barcelona
127.0,7.95,2019-03-02,2019-02-05,Tabletop Games,Philadelphia,An RPG zine about learning through play.,40,"{5: 121, 10: 128}",979,$,400,505.0,2020,254,3,0,0,3,Sam Hotchkiss,False,False,PA,Funding Successful,Skill Points
1.67,99.4,2019-02-06,2019-01-07,Apparel,Santa Rosa,These straight legged Black Yoga Pants are functional and flattering AND do not collect pet hair!,97,"{98: 1, 186: 2, 1: 0}",1981,$,50000,0.99,497,5,0,5,0,1,Abbie Durkee,True,False,CA,Funding Unsuccessful,Pet Friendly Yoga Pants
0.67,59.5,2019-01-03,2018-11-24,Webcomics,Guadalajara,"Vita, es una historia de ciencia ficción, con base en historias sobre criaturas malignas ( demonios) y divinas.",111,"{100: 1, 250: 0, 500: 0}",1312,MX$,10000,1.19,119,2,0,0,0,0,Arturo Aranjo,False,True,Mexico,Funding Unsuccessful,Vita: La Unión de Vida y Muerte.
1.5,39.57,2019-03-02,2019-01-11,DIY,Deutsch,Special and partly unique Jewellery made of coins and medals I introduce you.,77,"{8: 1, 10: 0, 35: 7, 39: 0, 40: 4, 45: 4, 50: 3}",3158,€,1500,55.4,831,21,9,0,0,0,Jewellery of Coins,False,True,Germany,Funding Unsuccessful,Jewellery made of Coins - the slightly different Jewellery
6.88,86.24,2019-03-11,2019-02-24,Tabletop Games,Blainville,My biggest single art pack to date! All new arts never shown before ! 400 arts to create your own RPG maps Commercial license available,135,"{8: 4, 45: 3, 55: 26, 63: 8, 65: 0, 235: 3, 275: 3, 295: 3}",242,$,1125,421.6,4743,55,40,0,0,7,Gaudreau Steve,False,False,Canada,Funding Successful,Greatest art pack I ever made to create your own RPG Maps !
8.0,62.92,2018-06-21,2018-05-29,Art,St. Louis,"Help Sam Barsky knit St. Louis! He's knitting the Saint Louis Arch on a sweater, visiting Saint Louis and we're throwing  him a party.",134,"{5: 8, 25: 13, 35: 11, 75: 0, 100: 1, 200: 0}",2354,$,3000,100.67,3020,48,0,0,0,6,Ann K. Hubbard,False,False,MO,Funding Successful,Sam Barsky Knits Saint Louis!
1.5,92.0,2019-03-05,2019-01-28,Nonfiction,Los Angeles,"My 1st book, ""Blasted from Complacency: A Journey from Terror to Transformation in Israel,"" our 2014 family vacation: Touring + War!",132,"{1: 1, 18: 1, 25: 0, 36: 5, 54: 3, 72: 0, 90: 2, 118: 2, 900: 0, 2: 0, 3: 0}",5014,$,18000,10.73,1932,21,0,0,0,0,Penny S. Tee,False,True,CA,Funding Unsuccessful,"""Blasted from Complacency: . . ."" Family Vacation + War!"
1.0,1.0,2019-03-02,2019-01-16,Music Videos,Houston,New W0rld Pr0ductionz creates and publishes music videos for local artists.,75,{90: 0},705,$,500,0.2,1,1,0,0,0,0,Stewart Clutter,True,False,TX,Funding Unsuccessful,New W0rld Pr0ductionz: Video and Film Editing
4.33,16.31,2018-06-21,2018-05-11,Rock,London,My Debut EP will be out on June 21st in physical form.,54,"{5: 1, 6: 0, 10: 9, 15: 5, 20: 3, 30: 4}",2959,£,300,141.33,424,26,6,0,0,8,HARRY,False,False,UK,Funding Successful,HARRY - DEBUT EP
1.0,66.0,2018-06-21,2018-05-22,Graphic Design,Hong Kong,"No worries, Big Bluddha is watching you. You are okay to be sad, happy, angry or whatever you are feeling.",106,"{20: 0, 35: 0, 90: 2}",143,HK$,1200,16.5,198,3,0,9,0,0,W. S. Lam,True,False,Hong Kong,Funding Unsuccessful,Big Bluddha is watching you.
12.17,77.9,2019-02-06,2018-12-28,Translations,Nashville,"Development of media products to bring Uzbek literature to western audiences, most notably Abdulla Qodiriy's O'tkan Kunlar.",123,"{20: 7, 30: 24, 50: 20, 100: 8, 200: 4, 1: 1}",1514,$,40000,14.22,5687,73,0,0,0,0,Mark Reese,False,True,TN,Funding Unsuccessful,"O'tkan Kunlar, English Translation of Acclaimed Uzbek Novel"
0.6,3.67,2018-06-21,2018-05-07,Young Adult,Jaen,"How can you change your life by witnessing a traumatic event only because you are in the wrong place and time? Crime, mystery",125,"{4: 0, 5: 2, 10: 0}",866,€,3000,0.37,11,3,1,2,0,3,Fran Jimenez,False,True,Spain,Funding Unsuccessful,"Undetected, Crime and mystery (ENGLISH / ESPAÑOL)"
4.64,560.24,2018-06-21,2018-05-07,Documentary,Los Angeles,"Millions could benefit. The definitive film for those who want to know if, how, what, where, how come, what kind, how much & how often.",135,"{10: 6, 20: 12, 24: 10, 30: 5, 40: 5, 45: 2, 60: 3, 70: 0, 95: 2, 115: 6, 165: 0, 200: 3, 260: 3, 360: 2, 500: 4, 850: 1, 1: 2, 2: 0, 3: 0, 5: 2, 8: 1}",18190,$,56500,101.14,57144,102,3,0,0,7,Roslyn Dauber,False,False,CA,Funding Successful,MEDICAL MARIJUANA: Understanding Cannabis as Medicine
0.8,31.25,2019-02-06,2019-01-23,Restaurants,Chippendale,"We are 4 Ounces Burger Company.
We believe in a fast food future that is ethical, sustainable  socially aware.",111,"{10: 1, 15: 0, 25: 0, 50: 0, 100: 1, 200: 0, 500: 0, 1: 0}",2277,$,50000,0.5,250,8,0,0,0,0,Rory Donnelly,False,True,AU,Funding Unsuccessful,4 Ounces Burger Company: Ethical fast food.
39.33,18.0,2018-06-21,2018-05-24,Tabletop Games,Frankfort,"Role playing game source book ~ 50 exotic weapons and 50 Enchanted Weapons in one beautiful book for 5th Edition D&D

RPG DnD Fantasy",135,"{8: 73, 10: 78, 15: 54, 60: 26, 150: 3, 300: 0}",9334,$,1000,424.7,4247,236,146,0,4,32,W.S. Quinton,False,False,KY,Funding Successful,The Steel Road: Exotic Weapons for 5th Edition
1.0,17.0,2018-06-21,2018-05-22,Crafts,Washington,Celebrating the 90's with this enamel pin set.,46,"{5: 0, 10: 3, 20: 1, 30: 1, 36: 0, 50: 0}",0,$,600,17.0,102,6,0,3,0,0,tinaseamonster,True,False,DC,Funding Unsuccessful,90's Friends Enamel Pins
0.67,52.5,2019-03-02,2019-01-31,Documentary,Houston,A DocuSeries about freelance models and photographers,53,"{25: 0, 50: 2, 100: 1, 200: 0, 500: 0, 1: 0}",0,$,25000,0.84,210,4,0,4,0,0,Wilfred LeBlanc,False,True,TX,Funding Unsuccessful,Freeze Frame - Pretty As A Picture (season 2)
1.5,6.67,2018-06-21,2018-05-22,Comic Books,Cordova,"Hello, I am trying to raise funds for the second issue of my comic book series, M1.  These funds will cover the artist and print fees.",134,"{10: 1, 20: 0}",849,$,1500,1.33,20,3,1,4,0,0,Alejandro Morales,True,False,TN,Funding Unsuccessful,M1 Issue Number 2 Fund
27.0,123.57,2018-06-21,2018-05-22,Documentary,Toronto,A ten episode documentary series to save the last 76 Southern Resident Killer Whales 🌎 Will you join us?,104,"{15: 44, 30: 85, 40: 12, 45: 26, 55: 82, 75: 26, 125: 33, 250: 14, 600: 2, 2: 0, 3: 1, 5: 3}",693,$,15000,311.39,46709,378,11,0,0,16,Coextinction,False,False,Canada,Funding Successful,Coextinction
13.5,56.46,2019-03-02,2019-01-31,Children's Books,Denver,The children's book that will open your eyes to the Sneakrets all around.,73,"{5: 1, 30: 40, 110: 5, 175: 4}",901,$,2000,152.45,3049,54,0,0,0,6,Steven Paul Winkelstein,False,False,CO,Funding Successful,The Sneakrets Children's Book
6.33,19.89,2018-06-21,2018-05-27,Art,Waycross,5 cm tall copper plated enamel pins of two affectionate kitties,63,"{10: 1, 18: 17}",319,$,600,63.0,378,19,2,5,0,1,Chrysisi,True,False,GA,Funding Unsuccessful,Meow Amor Enamel Pins
4.75,33.05,2019-03-02,2019-01-31,Product Design,Prescott,"Balance a top or marble atop this precision-machined spinning top for a dazzling display.  It’s relaxing, engaging, & addictive!",128,"{1: 0, 5: 1, 25: 19, 30: 11, 35: 0, 40: 1, 65: 1, 75: 4}",4304,$,500,251.2,1256,38,8,0,0,4,Frank,False,False,AZ,Funding Successful,Marble & Tops - stackable spinning tops
319.5,69.02,2018-06-21,2018-06-05,Tabletop Games,Londonderry,A competitive board game for 2-4 players of warring empires and shifting loyalties.,83,"{49: 67, 69: 487}",3260,$,30000,147.02,44105,639,348,0,6,20,Game Salute,False,False,NH,Funding Successful,A War of Whispers
0.18,15.5,2019-03-02,2019-01-31,Woodworking,Cincinnati,High quality wood furniture designed to last a lifetime + without emptying customers pocketbooks.,97,"{1: 0, 5: 0, 25: 1, 50: 0, 100: 0, 150: 0, 200: 0, 600: 0, 2: 0, 3: 0}",2524,$,20000,0.15,31,2,0,0,0,0,Kevin Siegel,True,False,OH,Cancelled by Creator,"Quality wood furniture for you, a dream come true for me."
0.6,42.0,2018-06-21,2018-04-22,Accessories,Las Vegas,"Hair Nowww Systems makes hair extensions easy..  Nowww, installing and wearing hair extensions is simple, fast and easy.",120,"{20: 1, 450: 0, 500: 0, 700: 0}",1329,$,10000,1.26,126,3,0,0,0,0,Shawn,False,True,NV,Funding Unsuccessful,Hair Extension
3.25,138.54,2018-06-21,2018-06-03,Music,Los Angeles,"My name is Katelyn! I am here to raise funding for my ""Katelyn Music Project"" I am working on my first album and music video.",125,"{10: 0, 25: 5, 50: 1, 100: 1}",648,$,1500,120.07,1801,13,0,0,0,1,Katelyn McFadden,False,False,CA,Funding Successful,The Katelyn Music Project
0.17,1.0,2019-03-02,2019-01-29,Fiction,Paris,Roman d'aventure,16,"{1: 0, 25: 0, 50: 0, 150: 0, 750: 0}",4045,€,3330,0.03,1,1,0,0,0,0,jacques christiani,True,False,France,Funding Unsuccessful,L’éveil de Mercure
0.14,1.0,2019-03-02,2019-01-31,People,Dallas,Assist in the repair or replacing of photographic equipment in order to provide a better service for athletes and fitness professionals,135,"{25: 0, 50: 0, 75: 0, 100: 0, 200: 0}",1693,$,10000,0.01,1,1,0,0,0,0,"Josiah ""Stu"" Stubrud",True,False,TX,Funding Unsuccessful,Building a Better Brand
45.86,129.88,2019-03-02,2019-02-03,Tabletop Games,New York,"Live all of your wildest wrestling fantasies without ever taking a chair shot! Supershow the Game, The #1 Wrestling Game in the World.",134,"{30: 58, 60: 84, 115: 137, 500: 6, 510: 10, 520: 10, 530: 4}",4741,$,20000,208.46,41693,321,366,0,0,8,Steve Resk,False,False,NY,Funding Successful,Supershow the Game: The Uprising
6.67,56.7,2019-03-02,2019-01-31,Illustration,Austin,A deck of Cat Oracle cards with easy instruction ebook,54,"{5: 0, 25: 27, 50: 7, 70: 2, 250: 0, 1: 1}",5972,$,2000,113.4,2268,40,1,0,0,7,David Borden,False,False,TX,Funding Successful,The White Cat Oracle
6.86,57.17,2019-03-02,2019-01-31,Woodworking,Alabaster,100 Bourbon Barrel Bolt Action Bullet Pens,42,"{1: 1, 49: 14, 52: 32}",3227,$,1000,274.4,2744,48,15,0,0,6,Joel Lockridge,False,False,AL,Funding Successful,Make 100 -- 100 Bourbon Barrel Bolt Action Bullet Pens
0.5,1.0,2019-03-02,2019-01-31,Nonfiction,Charleston,"I am self-publishing an educational book for teachers, parents, and students to support disabilities in the classroom.",118,"{50: 0, 100: 0}",0,$,3000,0.03,1,1,0,0,0,0,Helen W. Gist,True,False,WV,Funding Unsuccessful,Dano Saves The Day: The Helpful Hero
4.89,36.01,2019-01-03,2018-12-16,Art,Singapore,A set of Fantastically Cute Beasts Hard Enamel Pins inspired by the Wizarding World and Harry Potter Franchise!,111,"{9: 10, 11: 22, 18: 5, 22: 11, 27: 3, 33: 10, 36: 3, 43: 3, 45: 2, 53: 2, 54: 2, 62: 0, 63: 2, 71: 1, 72: 1, 80: 0, 81: 2, 88: 5}",5374,$,300,1056.33,3169,88,5,0,0,11,o.mj studio,False,False,Singapore,Funding Successful,Fantastically Cute Beasts Hard Enamel Pins
6.0,101.43,2019-01-03,2018-12-04,Comedy,Los Angeles,A feature film based on the hilarious jazz comedy short.,56,"{1: 1, 5: 9, 15: 5, 25: 10, 35: 9, 60: 13, 125: 12, 250: 6, 300: 1, 500: 2, 750: 0, 2: 0}",1778,$,5000,170.4,8520,84,0,0,0,5,Collin Levin,False,False,CA,Funding Successful,In A Silent Way Feature Film
0.33,5.5,2019-03-02,2019-01-31,Art Books,New Orleans,A chapbook about a toy that loves unconditionally and is abused carelessly.,75,"{1: 0, 5: 0, 10: 1, 25: 0, 50: 0, 100: 0}",1003,$,500,2.2,11,2,0,0,0,0,John P. Bourgeois,True,False,LA,Funding Unsuccessful,Your Bun-Bun
0.69,77.94,2019-01-03,2018-12-04,Hardware,Munich,"We, PSITRON, have developed a new electronics construction kit. It playfully teaches the most important basics of analog electronics.",133,"{59: 2, 69: 0, 89: 1, 99: 8, 129: 0, 269: 1, 290: 0, 340: 0, 440: 0, 570: 0, 625: 0, 670: 0, 840: 0, 860: 0, 990: 0, 1: 0, 2: 0, 3: 0, 4: 0}",4865,€,10000,14.03,1403,18,0,0,0,0,PSITRON,False,True,Germany,Funding Unsuccessful,New electronics construction kit with magnetic contacts
2.5,627.93,2019-03-02,2019-01-31,Illustration,Mexico,A new watercolor sketchbook filled with illustrations and sketchs.,66,"{50: 4, 100: 1, 200: 3, 500: 2, 1: 4}",1984,MX$,5000,188.38,9419,15,7,0,0,3,GYRHS,False,False,Mexico,Funding Successful,Let's MAKE 100 illustrations on my Journal
2.0,25.0,2019-01-03,2018-12-04,Jewelry,Raleigh,I am looking to create an enamel pin based on the advice of one of the most iconic princesses and musicals of all time.,119,"{2: 0, 5: 0, 8: 5, 10: 4, 12: 0, 13: 0, 20: 2, 24: 2}",4239,$,450,100.0,450,18,0,0,0,9,Ink & Imagination,False,False,NC,Funding Successful,"""It's Possible"" Cinderella Inspired Enamel Pin"
3.0,27.76,2019-01-03,2018-12-04,Music,Edinburgh,For the first time Heidi Talbot and Adam Holmes are joining forces to write and record an album of original material together.,126,"{5: 0, 8: 1, 10: 15, 15: 5, 18: 6, 25: 1, 30: 5, 40: 2, 150: 1, 190: 0, 250: 1, 2: 0}",1650,£,8000,14.57,1166,42,0,0,0,0,Arcade: Heidi Talbot and Adam Holmes,False,True,UK,Funding Unsuccessful,Arcade:A New collaboration from Heidi Talbot and Adam Holmes
6.83,74.71,2019-01-03,2018-11-24,Fashion,Sharon,The world's first premium Islamic prayer bracelet.,50,"{10: 0, 25: 30, 40: 4, 49: 10, 69: 2, 70: 5, 75: 1, 89: 5, 109: 7, 110: 2, 130: 4, 235: 7}",0,$,5000,122.52,6126,82,0,0,0,3,BasmalaBeads™,False,False,MA,Funding Successful,BasmalaBracelets™
9.73,95.12,2019-01-03,2018-12-04,World Music,San Francisco,"New music with artists from 8 of San Francisco's sister cities. 
Support us to knit the world closer together in art and friendship.",132,"{10: 39, 15: 5, 35: 12, 50: 15, 75: 5, 100: 8, 350: 0, 1: 0}",2145,$,10000,101.78,10178,107,2,0,0,8,Real Vocal String Quartet,False,False,CA,Funding Successful,Real Vocal String Quartet creating Culture Kin!
25.57,50.65,2019-01-03,2018-11-21,Interactive Design,Boston,Nautically inspired and built to last. Our signature instrument of chance.,74,"{1: 13, 15: 23, 20: 88, 30: 37, 40: 2, 300: 5, 500: 5}",10241,$,250,3626.4,9066,179,92,0,6,6,Oceanus Brass,False,False,MA,Funding Successful,Deckhand's Dice in Sapphire | Oceanus Brass
0.75,1.67,2019-03-11,2019-03-01,Painting,Cardiff,A series of large scale paintings to explore the visual tension between figure and urban landscape.,99,"{50: 0, 100: 0, 200: 0, 500: 0}",1060,£,500,1.0,5,3,0,2,0,0,Jon Wall,False,True,UK,Funding Unsuccessful,Anatomy of the City: A series of paintings by Jon Wall
0.09,1.0,2019-03-11,2019-01-10,Fashion,Denver,A clothing store that creates and sells clothing for the LGBT+ community.,73,"{1: 0, 5: 0, 10: 0, 20: 0, 25: 0, 60: 0, 80: 0, 150: 0, 250: 0, 550: 0}",604,$,555000,0.0,1,1,1,2,0,0,Transitons Clothing,True,False,CO,Cancelled by Creator,Transitions clothing
0.33,37.25,2019-03-11,2019-02-05,Music Videos,Tijuana,"Video musical del tema ¨Merol¨ de Hafid Hernández Trio, que retrata un futuro en ruinas donde la única salvación es la música.",126,"{20: 1, 50: 0, 100: 1, 200: 0, 500: 0, 1: 0, 2: 0, 5: 0, 15: 0}",1592,MX$,181000,0.08,149,4,0,0,0,0,Ave Sánchez,False,True,Mexico,Funding Unsuccessful,Merol Videoclip
1.86,48.77,2019-01-03,2018-12-27,Tabletop Games,Nottinghamshire,"BATTLE OF WATERLOO 1794, AUSTRIAN AND DUTCH INFANTRY IN 28M",59,"{30: 3, 33: 3, 65: 3, 90: 2, 170: 0, 300: 0}",867,£,125,507.2,634,13,3,0,0,1,emma,False,False,UK,Funding Successful,BATTLE OF WATERLOO 1794 IN 28MM REVOLUTIONARY WARS WARGAMES
0.43,17.0,2019-01-03,2018-11-06,Rock,Pampa,"We are the OddFellas, looking to fund an album and to help start our first full lengt tour. Here is how you can help!!",118,"{15: 0, 40: 1, 75: 0, 100: 0, 250: 0, 500: 0, 1: 0}",311,$,10000,0.51,51,3,0,0,0,0,OddFellas,True,False,TX,Funding Unsuccessful,OddFellas First Album/Tour
2.0,16.5,2019-03-11,2019-01-10,Academic,Columbus,"A Book About Fly Agaric Mushrooms
A comprehensive book all about Amanita Muscaria mushroom and their significance.",114,"{1: 1, 40: 2, 60: 0}",267,$,1200,8.25,99,6,3,0,0,0,Greg A. Manita,True,False,OH,Funding Unsuccessful,"Help with Book Publishing costs, Research & Development"
0.6,96.33,2019-01-03,2018-12-04,Product Design,Omaha,Collapsible Portable Fire Pit with Cooking Capabilities,55,"{165: 2, 245: 1, 320: 0, 370: 0, 455: 0, 520: 0}",1960,$,20000,2.89,578,6,0,2,0,0,Weylin Unruh,False,True,NE,Funding Unsuccessful,The Full Range Fire Pit
2.0,29.5,2019-01-03,2018-12-04,Academic,Gothenburg,"We read about gender quotas now and then, either presented as a great solution or a terrible injustice. Does the data support either?",133,{50: 1},1748,kr,25000,0.24,59,2,0,0,0,0,Vanja Månborg,False,True,Sweden,Funding Unsuccessful,Citizen Scientist Investigates: Gender quotas in business
0.75,100.33,2019-01-03,2018-11-04,Events,Columbus,"Seeking funds to start a farm to table dinner series in Richland County, Ohio featuring our farm and other local producers.",123,"{150: 2, 250: 0, 1: 0, 2: 0}",703,$,8000,3.76,301,3,0,0,0,0,The Odd Sprout Farm,True,False,OH,Funding Unsuccessful,Farm-to-Table Dinner Series
127.12,15.34,2019-03-11,2019-02-25,Graphic Novels,Chicago,"A practical, how-to guide about an increasingly legal high for both the cannabis-curious and veteran smoker! Help this ebook see print!",135,"{5: 318, 10: 522, 15: 85, 25: 25, 30: 25, 40: 25, 70: 10}",3148,$,5000,312.04,15602,1017,12,0,0,2,IronSpike,False,False,IL,Funding Successful,How Do You Smoke a Weed?
1.2,93.17,2019-01-03,2018-12-04,Video Games,Lund,A tactics game combining elements of both RTS and old school RPGs.,66,"{50: 1, 100: 3, 200: 1, 350: 0, 700: 0}",2611,kr,600000,0.09,559,6,0,0,0,0,Darkmatter studios,False,True,Sweden,Funding Unsuccessful,Origin of Infestation
26.38,61.43,2019-03-11,2019-02-09,Young Adult,Kansas City,A monthly subscription box that focuses on BIPOC authors for readers of young adult fiction.,92,"{1: 71, 35: 138, 50: 14, 60: 19, 95: 42, 120: 5, 180: 10, 315: 7, 340: 0}",4166,$,12000,175.58,21070,343,6,0,5,8,Cara Davis,False,False,MO,Funding Successful,Marginsbox - Young Adult Subscription Book Box
25.33,70.78,2019-03-11,2019-02-09,Tabletop Games,Shacklefords,Runic Dice and Iron Runes for Gaming and Spellcraft,51,"{10: 30, 12: 40, 40: 37, 48: 67, 96: 16, 185: 35}",5636,$,1000,1613.8,16138,228,75,0,1,16,David Savedge,False,False,VA,Funding Successful,Scrying Dice: A Tabletop RPG Runic Accessory™
16.5,56.46,2019-03-11,2019-02-10,Art,Pittsburgh,"Large scale, high quality prints of monsters, robots, and sci-fi creatures rampaging through American cities.",109,"{40: 35, 50: 25, 75: 16, 80: 6, 90: 8}",1805,$,5000,111.8,5590,99,3,0,0,7,Matthew Buchholz,False,False,PA,Funding Successful,Large Scale Alternate Histories Art Prints
2.0,50.57,2019-03-11,2019-02-20,Animation,Sarasota,Two old ladies drag race mobility scooters to the end of a fabric store aisle to get the last Mega Yarn Ball.,109,"{1: 0, 10: 3, 25: 2, 50: 2, 100: 1, 250: 1, 500: 0}",1254,$,700,101.14,708,14,0,0,0,0,Hag Racing Official,False,False,FL,Funding Successful,Hag Racing - Animated Short Film
1.93,39.22,2019-01-03,2018-12-04,Tabletop Games,Springfield,An grown-up deck building game catering to the juvenile in everyone. Full of cursing and super-heroes.,102,"{1: 8, 2: 1, 3: 0, 4: 0, 5: 4, 6: 0, 7: 22, 20: 0, 25: 0, 35: 1, 45: 1, 50: 8, 60: 0, 70: 2, 100: 2, 125: 0, 150: 0, 175: 0, 200: 1, 250: 0, 300: 1, 350: 1, 550: 0}",1077,$,500,423.6,2118,54,20,0,0,20,Doug Driesel Jr.,False,False,MO,Funding Successful,Captain Asshole Card Game
3.12,30.08,2019-03-11,2019-02-08,Art,Austin,Enamel pins based around the animals of the American Southwest.,63,"{1: 1, 8: 1, 12: 7, 22: 3, 30: 5, 40: 2, 50: 5}",2183,$,700,107.43,752,25,1,0,0,1,Academy of Narrative Art,False,False,TX,Funding Successful,Critters of the Southwest Pins
0.2,1.0,2019-03-11,2019-02-10,Fiction,Havelock,A Queen Among Kings,19,"{5: 0, 15: 0, 25: 0, 30: 0, 40: 0}",884,$,1500,0.07,1,1,0,0,0,0,Olicia Spears Smith,True,False,NC,Cancelled by Creator,Fiction Novel
